Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
"Denise Wenzl, Felix Hohenhövel",,Rechtsprechungsübersicht Strafrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1167,,,,,,Deutschland
Jakob Schünemann,,Die automatisierte Kennzeichenkontrolle im Polizeirecht,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1168,,,,,,Deutschland
Juliane Hendorf,,Das BVerwG und die Küken – vermeintliche Alternativlosigkeit als vorübergehend vernünftiger Grund: Anmerkung zum Urteil des Bundesverwaltungsgerichts vom 13. 6. 2019 – BVerwG 3 C 28.16,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1169,,,,,,Deutschland
Lorenz Dilling,,»Wegschließen für immer?«: Die Sicherungsverwahrung aus Sicht der Europäischen Menschenrechtskonvention,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1170,,,,,,Deutschland
Max Wrobel,,Das Willensstrafrecht und dessen Einfluss auf die Strafrechtsdogmatik,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1171,,,,,,Deutschland
Timo Marcel Albrecht,,Verfassungen sind stets mehr als die Summe ihrer Artikel: Was die juristischen Jubiläen des Jahres uns lehren können über Text und Kontext erfolgreichen Verfassungsrechts,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1172,,,,,,Deutschland
Till Nima Albers,,Carl Schmitts staatstheoretisches Werk in der Weimarer Republik,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1173,,,,,,Deutschland
Jennifer Reh,,Kunstkauf mit Hindernissen,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1174,,,,,,Deutschland
Lea Gottschalk,,Von Privatparkplätzen und Demonstrationsverboten,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1175,,,,,,Deutschland
Katharina Hundertmark,,Juristische Klausurenklinik: Methodische Klausurenanalyse als Hilfestellung für erfolgreiche Klausuren,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1176,,,,,,Deutschland
Fiona Gawlik,,Rechtsvergleichendes deutsch-türkisches Seminar: »Grundprinzipien des Strafprozessrechts und aktuelle Herausforderungen und Entwicklungen«,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1177,,,,,,Deutschland
"Sven Neubert, Torben Schneider",,Rechtsprechungsübersicht Zivilrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1178,,,,,,Deutschland
"Sophie Norbeck, Anna Sophia Peuser",,Rechtsprechungsübersicht im Öffentlichen Recht,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1179,,,,,,Deutschland
"Maximilian Meister, Denise Wenzl",,Rechtsprechungsübersicht Strafrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 3,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1180,,,,,,Deutschland
Lennart Marquard,,"Die Opposition im Bundestag – Funktion, Bedeutung und Effektivität im Wandel",,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1181,,,,,,Deutschland
Julian Jansen,,Die Zulässigkeit wirtschaftlicher Betätigung der Gemeinden – Ist die Schrankentrias des § 136 I 2 NKomVG tatsächlich Schranke?,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1182,,,,,,Deutschland
Christoph Schröder,,Religionsfreiheit im Beruf,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1183,,,,,,Deutschland
Luca Alexander Petersen,,"Cyberangriffe – Definition, Regulierung, Pönalisierung",,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1184,,,,,,Deutschland
Jennifer Reh,,»Rassenhygiene« im »Dritten Reich« – spezifisch nationalsozialistisches Unrecht?,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1185,,,,,,Deutschland
Lea Gottschalk,,Von unerreichbaren Mitarbeitern und hypothetischen Ops,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1186,,,,,,Deutschland
Flora Jacobsen,,Dicke Luft in Göttingen,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1187,,,,,,Deutschland
Leonore Merth,,Kaltblütig – Nichtwahrheitsgemäßer Bericht über einen Mord und seine Folgen,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1188,,,,,,Deutschland
Angela Prof. Dr. Schwerdtfeger,,Professorenvorstellung,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1189,,,,,,Deutschland
Lucas Karrasch,,Ein Verwaltungspraktikum im Bundesfinanzministerium,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1190,,,,,,Deutschland
Patrick Wiemann,,Klausurentechnik und -taktik im Zivilrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1191,,,,,,Deutschland
Timo Marcel Albrecht,,Adam von Trott zu Solz,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1192,,,,,,Deutschland
Victor Johannes Loxen,,"Buchbesprechung zu Thiele, Allgemeine Staatslehre",,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1193,,,,,,Deutschland
"Freiderike Amman, Sven Neubert, Torben Schneider",,Rechtsprechungsübersicht Zivilrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1194,,,,,,Deutschland
"Jakob Wagner-Douglas, Sven Wedemeyer",,Rechtsprechungsübersicht Öffentliches Recht,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1195,,,,,,Deutschland
"Jannis Strotmann, Denise Wenzl",,Rechtsprechungsübersicht Strafrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1196,,,,,,Deutschland
Sophie Norbeck,,Rechtsprechungsübersicht zur COVID-19-Pandemie,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 4,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1197,,,,,,Deutschland
Naritsara Tookwaja,,Rechtsprobleme des Warenkaufs bei standardisierten Internetauktionen unter besonderer Berücksichtigung der höchstrichterlichen Rechtsprechung,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1198,,,,,,Deutschland
Lara Schmidt,,Verfassungsmäßige Sanktionen im Sozialrecht: Ein Dilemma der bundesverfassungsgerichtlichen Menschenwürdejudikatur,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1199,,,,,,Deutschland
Sebastian Hapka,,Kontrolle des Verfassungsschutzes durch die Presse?,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1200,,,,,,Deutschland
Leon Augustin Hill,,Der Dualismus von Recht und Moral im NS-Strafrecht und heute,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1201,,,,,,Deutschland
Florian Philippi,,Recht im Spannungsfeld zwischen Individual- und Kollektivschutz: Die »Bewahrung« von »Asozialen« in den deutschen Demokratien und Diktaturen des 20. Jahrhunderts,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1202,,,,,,Deutschland
Stephanie Thiel,,Erna Scheffler – erste Richterin des Bundesverfassungsgerichts und Pionierin bei der Durchsetzung der Gleichberechtigung der Geschlechter,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1203,,,,,,Deutschland
Aron Mackenstedt,,Von edlem Wein und Kettenkarussells: Fallbearbeitung im Bürgerlichen Recht für Anfänger,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1204,,,,,,Deutschland
Jakob Schünemann,,Örtliche Auseinandersetzungen: Fallbearbeitung im Öffentlichen Recht für Fortgeschrittene,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1205,,,,,,Deutschland
Paulina Griesenbeck,,Ein »für immer und ewig« von kurzer Dauer: Fallbearbeitung im Strafrecht für Anfänger,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1206,,,,,,Deutschland
"Elena Ben Salem, Franziska-Harriet Reese, Paul Wohlleben",,Der Willem C. Vis International Commercial Arbitration Moot,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1207,,,,,,Deutschland
"Gesine Dr. Weinrich, Georg Dr. Lemmer",,»Im Namen des Volkes« – Gerichtliche Rollenspiele als Schlüsselqualifikation,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1208,,,,,,Deutschland
Ferdinand Dr. Weber,,Die mündliche Prüfung im Ersten Staatsexamen anhand des Art. 23 GG,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1209,,,,,,Deutschland
Meret Unruh,,Die Göttinger Sieben – insbesondere Wilhelm Eduard Albrecht und Jacob Grimm,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1210,,,,,,Deutschland
"Timo Marcel Albrecht, Christian Maagard, jakob Schünemann",,Veranstaltungsbericht: »Beschleunigter Stillstand – Gesetze einer Pandemie«: Erfolgreiche Debütveranstaltung unserer neuen Vortragsreihe »Recht interdisziplinär«,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1211,,,,,,Deutschland
"Felix Hohenhövel, Pablo Hesse",,Rechtsprechungsübersicht Zivilrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1212,,,,,,Deutschland
Sophie Norbeck,,Rechtsprechungsübersicht Öffentliches Recht,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1213,,,,,,Deutschland
"Jannis Strotmann, Denise Wenzl",,Rechtsprechungsübersicht Strafrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 3,",Nr. 5,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1214,,,,,,Deutschland
Lara Schmidt,,Auf Verdacht gekündigt: Das Institut der Verdachtskündigung und dessen grundrechtlichen Implikationen.,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1215,,,,,,Deutschland
Christoph Schröder,,"Bedrohung der öffentlichen Ordnung durch rechtsextreme Demonstrationen: Zugleich Besprechung von OVG Lüneburg, Beschluss vom 13.11.2020, 11 ME 293/20",,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1216,,,,,,Deutschland
Leonhard Biergann,,Das böswillige Untätigbleiben ohne Einstehungspflicht – nur eine unterlassene Hilfeleistung?,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1147/1203,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1217,,,,Aufsätze,,Deutschland
Julian Stach,,Fritz Bauer – eine biografisch-juristische Analyse,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1148/1204,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1218,,,,Aufsätze,,Deutschland
Viktoria Maria Sochor,,"Der Reichsdeputationshauptschluss von 1803: Hintergrund, Inhalt und Folgen",,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1149/1205,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1219,,,,Aufsätze,,Deutschland
Maximilian H. von Ameln,,Von Assistenzhunden und Hunden im Wolfspelz: Eine Fallbearbeitung im Bürgerlichen Recht für Fortgeschrittene,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1150/1206,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1220,,,,Aufsätze,,Deutschland
Sven Wedemeyer,,Versammeln für den Abstand - Versammlungsfreiheit im Gefüge der pandemiebedingten Freiheitseinschränkungen: Zwischenprüfungsklausur im Öffentlichen Recht,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1151/1207,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1221,,,,Fallbearbeitungen,,Deutschland
"Ole Johannes Timm, Phillip-Alexander Dr. Jur. Dr. Phil. Hirsch",,Weihnachtsgeschenke,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1152/1208,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1222,,,,Fallbearbeitungen,,Deutschland
"Johanna Friederike Obst, Malenka Föth",,Der erste Georg-August-Moot,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1153/1209,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1223,,,,Fallbearbeitungen,,Deutschland
Florian Prof. Dr. Meinel,,Professorenvorstellung,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1154/1210,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1224,,,,Studium und Didaktik,,Deutschland
Tristan Wißgott,,"Buchbesprechung zu Thiele, Der konstituierte Staat",,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1155/1211,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1225,,,,Rechtsprechungsübersichten,,Deutschland
"Sebastian Schwab, Mattis Bieberle-Aumann",,Rudolf Smend: Göttinger Gelehrter wider Willen,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1156/1212,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1226,,,,Rechtsprechungsübersichten,,Deutschland
"Timo Marcel Albrecht, Christian Magaard, Jakob Schünemann",,Veranstaltungsbericht: »Macht Recht ungleich?Wie das Recht Vermögen schafft und verteilt«: Erfolgreiche Fortsetzung der Vortragsreihe »Recht interdisziplinär«,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,17. Dezember 2018,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1157/1213,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1227,,,,Rechtsprechungsübersichten,,Deutschland
Tim Becker,,Rechtsprechungsübersicht Zivilrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,29. Juli 2019,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1158/1214,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1228,,,,Aufsätze,,Deutschland
Sophie Norbeck,,Rechtsprechungsübersicht Öffentliches Recht,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,29. Juli 2019,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1159/1215,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1229,,,,Aufsätze,,Deutschland
"Denise Wenzl, Louisa Lingner",,Rechtsprechungsübersicht Strafrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 6,29. Juli 2019,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1160/1216,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1230,,,,Fallbearbeitungen,,Deutschland
Klara Tönshoff,,Die Rolle des EuGH bei der Wahrung derRechtsstaatlichkeit in der EU: Eine Darstellung am Beispiel der Republik Polen,,Göttinger Rechtszeitschrift,GRZ,"Band 4,",Nr. 7,29. Juli 2019,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1161/1217,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1231,,,,Fallbearbeitungen,,Deutschland
