Titel,Zeitschrift,Zeitschriftkürzel,Land
KI-Einsatz zur Leistungskontrolle am (Hochschul-)Arbeitsplatz Anforderungen aus Sicht des Datenschutzrechts,Ordnung der Wissenschaft,OdW,Deutschland
Ein Beitrag zur Künstlichen Intelligenz,Ordnung der Wissenschaft,OdW,Deutschland
Studium der Psychotherapie – auch an Hochschulen für Angewandte Wissenschaften?,Ordnung der Wissenschaft,OdW,Deutschland
E‑Klausur und elektronische Fernprüfung: Technologischer Fortschritt und Prüfungskulturwandel im Spiegel des Rechts — Ein Werkstattbericht,Ordnung der Wissenschaft,OdW,Deutschland
￼Arbeitszeiterfassung an Hochschulen – Anmerkung zum Beschluss des BAG vom 13.9.2022 – 1 ABR 22/21 –,Ordnung der Wissenschaft,OdW,Deutschland
Zur Reichweite der Lehrverpflichtung nach § 46 Abs. 2 Satz 1 LHG BW i.V.m. der Lehrverpflichtungsverordnung. Zugleich Besprechung des Urteils des Verwaltungsgerichts Karlsruhe vom 14.12.2020 — 11 K 1503/19 -,Ordnung der Wissenschaft,OdW,Deutschland
Zur Ausstellung der Medaillensammlung Ius in nummis im Münzkabinett der Staatlichen Museen zu Berlin,Ordnung der Wissenschaft,OdW,Deutschland
Juristenausbildung in Kanada,Ordnung der Wissenschaft,OdW,Deutschland
Über die studierende Jugend,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 03/2023,Ordnung der Wissenschaft,OdW,Deutschland
Beschäftigungsverbot für Wissenschaftler aus Risikostaaten?,Ordnung der Wissenschaft,OdW,Deutschland
Interdisziplinäre Forschung als möglicher Impulsgeber für eine evidenzbasierte Regulierung – Programmatische Überlegungen am Beispiel des Urheberrechts im digitalen Zeitalter,Ordnung der Wissenschaft,OdW,Deutschland
Ressortforschung. Eine institutionalisierteRationalität im politisch-gubernativen Gefüge,Ordnung der Wissenschaft,OdW,Deutschland
Arbeitszeiterfassungspflicht an privatenHochschulen – auch für Professorinnen undProfessoren?,Ordnung der Wissenschaft,OdW,Deutschland
Social Media-Nutzung von Hochschulen vor dem Aus? Verfassungsrechtliche Analyse der Untersagungsverfügung des BfDI gegen das BPA vom 17.02.2023,Ordnung der Wissenschaft,OdW,Deutschland
Akademisches Höchstalter für die Juniorprofessur Zur Einordnung der Juniorprofessur mit und ohne Tenure-Track in das System wissenschaftlicher Qualifizierung,Ordnung der Wissenschaft,OdW,Deutschland
Wissenschaft und Exportkontrolle Bericht über die Tagung des Vereins zur Förderung des deutschen und internationalen Wissenschaftsrechts e.V. am 27. April 2023,Ordnung der Wissenschaft,OdW,Deutschland
Die Kunst des Ausdrucks besitzen,Ordnung der Wissenschaft,OdW,Deutschland
Recht ohne Wirklichkeit? Ein rechtswissenschaftlicher Ausblick ins Jahr 2035,Ordnung der Wissenschaft,OdW,Deutschland
"Promotion und Wissenschaftsplagiate: Eine Bestandsaufnahme im Regelungsverbund zwischen Landesgesetzgebung, Hochschulen und Richterrecht",Ordnung der Wissenschaft,OdW,Deutschland
Von der Guten Wissenschaft zum wissenschaftlichen Fehlverhalten,Ordnung der Wissenschaft,OdW,Deutschland
Die neue Hessische Hochschule für öffentliches Management und Sicherheit: Hochschulorganisation sui generis – auf Kosten der Wissenschaftsfreiheit,Ordnung der Wissenschaft,OdW,Deutschland
Prüfungen im digitalen Zeitalter – aktuelle rechtliche Fragestellungen. Bericht über die Tagung des Vereins zur Förderung des deutschen und internationalen Wissenschaftsrechts e.V. am 12.5.2023,Ordnung der Wissenschaft,OdW,Deutschland
Governance in Wissenschaftsorganisationen — Konstruktiver Umgang mit Konflikten und Vorwürfen. Bericht über die Tagung am 16. und 17.3.2023 an der Bergischen Universität Wuppertal,Ordnung der Wissenschaft,OdW,Deutschland
Landständische Forderungen einer ausreichenden Finanzierung der Universität Freiburg,Ordnung der Wissenschaft,OdW,Deutschland
Angemessene Reaktionsfrist - Innerhalb der Dringlichkeitsfrist hat der Antragsteller dem spÃ¤teren Antragsgegner eine Abmahnung zu Ã¼bersenden und ihm eine angemessene Zeit zur Antwort einzurÃ¤umen,Medien Internet und Recht,MIR,Deutschland
"FÃ¼nf Stunden Abmahnfrist - GrundsÃ¤tzlich muss eine Abmahnfrist so bemessen sein, dass dem Abgemahnten eine angemessene Ãberlegungszeit bleibt, um Rechtsrat einzuholen und die Reaktion abzuwÃ¤gen",Medien Internet und Recht,MIR,Deutschland
energycollect.de - Zur unberechtigten NamensanmaÃung durch die Aufrechterhaltung einer vor Entstehung des Namensrechts registrierten Internetdomain,Medien Internet und Recht,MIR,Deutschland
Selbstwiderlegung der Dringlichkeitsvermutung - Das volle AusschÃ¶pfen der gesetzlichen Berufungseinlegungs- und -begrÃ¼ndungsfristen ist in der Regel nicht dringlichkeitsschÃ¤dlich,Medien Internet und Recht,MIR,Deutschland
"Rechtswidriger Schufa-Eintrag und Schadenersatz - FÃ¼r die HerbeifÃ¼hrung einer rechtswidrigen Schufa-Eintragung kann die immaterielle EntschÃ¤digung mit EUR 1.500,00 bemessen werden",Medien Internet und Recht,MIR,Deutschland
Microstock-Portal - Zur MÃ¶glichkeit und den Grenzen von Vereinbarungen Ã¼ber den Verzicht auf die AusÃ¼bung des Urheberbezeichnungsrechts (Â§ 13 Satz 2 UrhG),Medien Internet und Recht,MIR,Deutschland
Kaffeekapsel II - Bei Verlust der BeiligtenfÃ¤higkeit des Antragstellers fÃ¼r einen LÃ¶schungs- bzw. Schutzrechtsenziehungsantrag vor dem BPatG ist dieser als unzulÃ¤ssig zu verwerfen und der BGH kann abschlieÃend entscheiden,Medien Internet und Recht,MIR,Deutschland
Recht auf Vergessenwerden - Kein schematischer Auslistungsanspruch nach Art. 17 Abs. 1 DSGVO gegenÃ¼ber einer juristischen Datenbank und Suchmaschine (dejure.org) wegen der VerknÃ¼pfung bei namensbezogenen Suchanfragen,Medien Internet und Recht,MIR,Deutschland
"Durchschnittliche Sternebewertung - Zur Werbung mit der Angabe ""Bekannt aus: ..."" und mit einer aus Kundenbewertungen resultierenden durchschnittlichen Sternezahl",Medien Internet und Recht,MIR,Deutschland
"AdBlock Plus - Anbieten und Nutzen des Browser-Plugin ""AdBlock Plus"" stellt keine Urheberrechtsverletzung betreffend die aufgerufenen Websites dar",Medien Internet und Recht,MIR,Deutschland
"MissbrÃ¤uchliche Geltendmachung der Vertragsstrafe - Der Einwand des Rechtsmissbrauchs ist nicht nur im Rahmen eines Unterlassungsanspruchs, sondern auch bei Geltendmachung einer Vertragsstrafe von Amts wegen zu beachten",Medien Internet und Recht,MIR,Deutschland
"Scraping - Bei der Geltendmachung datenschutzrechtlicher AnsprÃ¼che (Schadenersatz, Unterlassung und Auskunft) wegen eines Scraping-Vorfalls auf einer Social-Media-Plattform ist eine Wertfestsetzung in HÃ¶he von insgesamt EUR 6.000,00 angemessen",Medien Internet und Recht,MIR,Deutschland
"Wettbewerbsrechtliche AnsprÃ¼che auf Unterlassung der patentverfahrensrechtlich vorgesehenen Kritik am Stand der Technik - zugleich Besprechung von BGH, Az. I ZR 46/07, MIR 2010, Dok. 022 - ""Fischdosendeckel""*",Medien Internet und Recht,MIR,Deutschland
Wann ist die Geltendmachung von UnterlassungsansprÃ¼chen rechtsmissbrÃ¤uchlich i.S.d. Â§ 8 Abs. 4 UWG? - Anmerkung zum Urteil des LG Bielefeld vom 05.11.2008 - Az. 18 O 34/08*,Medien Internet und Recht,MIR,Deutschland
"Zum Spannungsfeld zwischen Lauterkeits- und Markenrecht bei vergleichender Werbung - Anmerkung zu EuGH, Urteil vom 12.06.2008 - Az. C-533/06 - O2 vs. Hutchison*",Medien Internet und Recht,MIR,Deutschland
BeweisfÃ¼hrung bei Streitigkeiten Ã¼ber Rechtsverletzungen in P2P-Netzen - Anmerkung zum Urteil des Landgerichts Hamburg vom 14.03.2008 - Az. 308 O 76/07*,Medien Internet und Recht,MIR,Deutschland
Zivilrechtliche Verantwortlichkeit des Homepagebetreibers fÃ¼r fremde Inhalte - Eine Ãbersicht zur Entwicklung der hÃ¶chstrichterlichen Rechtsprechung*,Medien Internet und Recht,MIR,Deutschland
"Elektronischer Rechtsverkehr - Vor- und Nachteile, Probleme, Perspektiven*",Medien Internet und Recht,MIR,Deutschland
Der Google Cache - Eine milliardenfache Urheberrechtsverletzung?*,Medien Internet und Recht,MIR,Deutschland
Neue Strafbarkeiten und Probleme - Der Entwurf des StrafrechtsÃ¤nderungsgesetzes (StrafÃ ndG) zur BekÃ¤mpfung der ComputerkriminalitÃ¤t vom 20.09.2006*,Medien Internet und Recht,MIR,Deutschland
Die Anbieterkennzeichnung nach Â§ 6 TDG*,Medien Internet und Recht,MIR,Deutschland
Neues zum digitalen Sound Sampling im US-amerikanischen Copyright*,Medien Internet und Recht,MIR,Deutschland
Zu den Informationspflichten bei eBay-Onlineauktionen nach Â§ 312 c BGB und Â§ 312 e BGB*,Medien Internet und Recht,MIR,Deutschland
BÃ¼hnenarbeitsrecht - NichtverlÃ¤ngerung und Ã nderungsnichtverlÃ¤ngerung von BÃ¼hnenkÃ¼nstler-ArbeitsvertrÃ¤gen*,Medien Internet und Recht,MIR,Deutschland
Zur Wahrnehmung der Rechte an dramatisch-musikalischen Werken durch die GEMA*,Medien Internet und Recht,MIR,Deutschland
Sampling - Rechtslage in Deutschland und den USA*,Medien Internet und Recht,MIR,Deutschland
Phishing for financial agents oder die MÃ¤r vom schnellen Geld*,Medien Internet und Recht,MIR,Deutschland
Zum eingeschrÃ¤nkten Schutz von Arbeitnehmerurhebern multimedialer Werke in Deutschland *,Medien Internet und Recht,MIR,Deutschland
SekundÃ¤rhaftungsrisiko fÃ¼r Anbieter von BitTorrent-Anwendungen in den USA und in Deutschland *,Medien Internet und Recht,MIR,Deutschland
Es geht voran...?! - Kommentar zum Urteil des LG Berlin vom 26.07.2005 - 16 O 132/05,Medien Internet und Recht,MIR,Deutschland
Zigarettenausgabeautomat III - Abbildungen von Zigarettenpackungen auf Warenausgabeautomaten mÃ¼ssen gesundheitsbezogene Warnhinweise zeigen,Medien Internet und Recht,MIR,Deutschland
"Der Gesamtpreis schlieÃt nicht den Pfandbetrag ein - Wird fÃ¼r Waren in PfandbehÃ¤ltern geworben, ist der Pfandbetrag gesondert auszuweisen",Medien Internet und Recht,MIR,Deutschland
"Markenschutz vs. Kunstfreiheit - Zum markenrechtlichen Schutz von Luxus-Handtaschen, wenn deren prÃ¤gende Merkmale im Rahmen einer Inszenierung Dritter verwendet werden",Medien Internet und Recht,MIR,Deutschland
"DB Navigator App - Suchfunktion ""Schnellste Verbindung anzeigen"" irrefÃ¼hrend",Medien Internet und Recht,MIR,Deutschland
Treu und Glauben - Auskunftsanspruch Ã¼ber frÃ¼here PrÃ¤mienanpassungen in der privaten Krankenversicherung folgt nicht aus Art. 15 DSGVO,Medien Internet und Recht,MIR,Deutschland
Datenschutzrechtliche AnsprÃ¼che - Mehrere Fragen zum Bestehen eines unionsrechtlichen Unterlassungsanspruchs und zum Begriff des immateriellen Schadens nach der DSGVO dem EuGH vorgelegt,Medien Internet und Recht,MIR,Deutschland
"Metall auf Metall, Szene BGH V, Instanz 11 - Fragen zum urheberrechtlichen Begriff des Pastiches dem EuGH vorgelegt",Medien Internet und Recht,MIR,Deutschland
Zur ZulÃ¤ssigkeit der LadenÃ¶ffnung an Sonntagen im ZweibrÃ¼cken Fashion Outlet Center,Medien Internet und Recht,MIR,Deutschland
"Das Nutzungsrecht fÃ¼r ein, von einem ehemaligen Mitglied gestalteten, Vereinslogo ist nicht ohne Weiteres an die Vereinsmitgliedschaft des Urhebers gebunden",Medien Internet und Recht,MIR,Deutschland
"Werbung fÃ¼r Produkte mit dem Begriff ""klimaneutral"" nicht ohne Weiteres irrefÃ¼hrend",Medien Internet und Recht,MIR,Deutschland
"Unangemessene Benachteiligung - Befristung der GÃ¼ltigkeitsdauer ""Mobiler Briefmarken"" auf 14 Tage unwirksam",Medien Internet und Recht,MIR,Deutschland
Perspektive Luftraum - Drohnenaufnahmen sind nicht von der urheberrechtlichen Panoramafreiheit gedeckt,Medien Internet und Recht,MIR,Deutschland
Anforderungen an ein Auslistungsbegehren gegen den Internet-Suchdienst von Google - Relevante und hinreichende Nachweise erforderlich,Medien Internet und Recht,MIR,Deutschland
"EndgerÃ¤tewahlfreiheit - Eine AGB-Klausel im Rahmen eines Mobilfunkvertrags, die die Nutzung des Internetzugangs auf mobile EntgerÃ¤te beschrÃ¤nkt, ist unwirksam",Medien Internet und Recht,MIR,Deutschland
"Ach Du dickes Ei! - Die Werbung mit der Wortfolge ""Ei, Ei, Ei, Ei, Ei"" fÃ¼r EierlikÃ¶rprodukte verletzt nicht Verpoorten-Marke ""Eieiei""",Medien Internet und Recht,MIR,Deutschland
"Autocomplete-Funktion - Kein Anspruch eines Unternehmers gegen Google auf Unterlassung der VerknÃ¼pfung seines Namens mit dem Begriff ""bankrott"" in SuchergÃ¤nzungsvorschlag",Medien Internet und Recht,MIR,Deutschland
Private Kontaktpflege nicht so dringlich - Kein Anspruch auf Kontofreischaltung gegen Facebook im Eilverfahren bei bereits erfolgter Sicherung gegen die KontolÃ¶schung,Medien Internet und Recht,MIR,Deutschland
"Adventsrabatt - eBay-Rabattaktion beim Kauf von BÃ¼chern bei BuchhÃ¤ndlern, die Ã¼ber eBay vertreiben, verstieÃ nicht gegen die Buchpreisbindung",Medien Internet und Recht,MIR,Deutschland
Vertrieb von Cheat-Software - BGH legt EuGH Fragen zum Schutz von Computerprogrammen zur Vorabentscheidung vor,Medien Internet und Recht,MIR,Deutschland
"PrÃ¼fsiegel-Wildwuchs - Vergabe von Siegel ""TOP-Mediziner"" oder ""FOCUS-Empfehlung"" wegen IrrefÃ¼hrung untersagt",Medien Internet und Recht,MIR,Deutschland
Michael WÃ¤chter: Datenschutz im Unternehmen,Medien Internet und Recht,MIR,Deutschland
mfm-BILDHONORARE 2020 - MarktÃ¼bersicht der Mittelstandsgemeinschaft Foto-Marketing,Medien Internet und Recht,MIR,Deutschland
Christian Rauda: Recht der Computerspiele*,Medien Internet und Recht,MIR,Deutschland
"Till Jaeger, Axel Metzger: Open Source Software - Rechtliche Rahmenbedingungen der Freien Software",Medien Internet und Recht,MIR,Deutschland
"JÃ¼rgen Taeger (Hrsg.), Tagungsband Herbstakademie 2010 - Digitale Evolution - Herausforderungen fÃ¼r das Informations- und Medienrecht",Medien Internet und Recht,MIR,Deutschland
Gottlieb Rafael Wick: Inhalt und Grenzen des Auskunftsanspruchs gegen Zugangsanbieter - Eine Untersuchung des Â§ 101 UrhG unter besonderer BerÃ¼cksichtigung der Filesharing-Systeme,Medien Internet und Recht,MIR,Deutschland
"Nino Goldbeck, Der umgekehrte Wettbewerbsprozess",Medien Internet und Recht,MIR,Deutschland
"Silvia Bader, JÃ¼rgen Seul: Surfen am Arbeitsplatz",Medien Internet und Recht,MIR,Deutschland
Ulrike Gedert: Der angemessene Schadenersatz bei der Verletzung geistigen Eigentums,Medien Internet und Recht,MIR,Deutschland
"Markus KÃ¶hler, Hans-Wolfgang Arndt, Thomas Fetzer, Recht des Internet",Medien Internet und Recht,MIR,Deutschland
"Dirk Heckmann (Hrsg.), PraxisKommentar Internetrecht, Telemediengesetz, E-Commerce, E-Goverment",Medien Internet und Recht,MIR,Deutschland
Ulrich Sick: VertrÃ¤ge im System- und ProjektgeschÃ¤ft - Ein Praxisleitfaden,Medien Internet und Recht,MIR,Deutschland
"Medienrecht en Block - die ""Fechner-Reihe""",Medien Internet und Recht,MIR,Deutschland
"Dieter Hapke, GewerbeschÃ¤digende Ã uÃerungen im Internet",Medien Internet und Recht,MIR,Deutschland
"Katja Marfa Sauer, Neue Wege im Designschutz",Medien Internet und Recht,MIR,Deutschland
"Eike Ulmann (Hrsg.), PraxisKommentar UWG, Gesetz gegen den unlauteren Wettbewerb",Medien Internet und Recht,MIR,Deutschland
Dr. Detlef von Schultz u.a.: Markenrecht - Kommentar,Medien Internet und Recht,MIR,Deutschland
Sascha Vander: Mehrwertdienste - Grundlagen sowie Missbrauchsproblematik,Medien Internet und Recht,MIR,Deutschland
Christian Volkmann: Der StÃ¶rer im Internet,Medien Internet und Recht,MIR,Deutschland
Editorial,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Extremisten von gestern – Demokraten von heute? Zum Umgang mit systemfeindlichen Parteien am Beispiel von Grünen und Linkspartei,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Eesti Konservatiivne Rahvaerakond – Rechtspopulisten in Estland,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
„Restore Japan!“ Restore Nationalism? Die nationalistische Ideologisierung der Liberaldemokratischen Partei Japans unter Shinzo Abe,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Das Framing der Flüchtlingskrise in Parlament und Parlamentsmagazinen,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Die Unabhängige Kommission zur Überprüfung des Vermögens der Parteien und Massenorganisationen in Taiwan,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Zur Wirkung einer Großen Koalition: Die Renaissance des polarisierten Pluralismus und die Polarisierung des deutschen Parteiensystems,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Das beschleunigte Parlament – Die Gesetzgebungsdauer der 18. Wahlperiode des Deutschen Bundestags,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Das neue Recht der europäischen politischen Parteien,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Transparenz durch die Hintertür?,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
"Motive des Pegida-Protests: Verbreitung, Struktur und Entwicklung unter dem Einfluss der „Flüchtlingskrise“",Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Democracy in Europe Movement 2025 – Paneuropäische Parteien zur Rettung Europas?,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Parteienvertrauen in Deutschland 2017: Ausmaß und Determinanten,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Damit ist kein Staat zu machen: Von Verfassungsfeinden und einem weiteren Problem mit der Verfassungstreue,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Grundlagen zum Parteienrecht,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Chancengleichheit,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Parteienfinanzierung,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Parteien und Parlamentsrecht,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Parteien und Wahlrecht,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
"Eder, Christian: „Rote Karte“ gegen „Spinner“? Bedeutung und Reichweite staatlicher Neutralitätspflichten in der politischen Auseinandersetzung, Duncker & Humblot, Berlin 2017",Zeitschrift für Parteienwissenschaften,MIP,Deutschland
"Gehlen, Andreas von: Parteiendemokratien – Zur Legitimation der EU-Mitgliedstaaten durch politische Parteien, De Gruyter, Oldenbourg 2017",Zeitschrift für Parteienwissenschaften,MIP,Deutschland
"Kolleck, Alma: Politische Diskurse online. Einflussfaktoren auf die Qualität der kollektiven Meinungsbildung in internetgestützten Beteiligungsverfahren, Nomos, Baden-Baden 2017",Zeitschrift für Parteienwissenschaften,MIP,Deutschland
"Meier, Horst/Leggewie, Claus/Lichdi, Johannes: Das zweite Verbotsverfahren gegen die NPD – Analyse, Prozessreportage, Urteilskritik, Recht und Politik Beiheft 1, 2017.",Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Rechtsprechungsübersicht,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Neuerscheinungen zu Parteienrecht und Parteienforschung,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
Editorial,Zeitschrift für Parteienwissenschaften,MIP,Deutschland
